person,block,trial,id,found,class,x,y
2,2,5,20,20,1,0.2569469880100682,0.43375692033489993
2,1,5,21,21,1,0.8340180673543177,0.5803007177877698
2,2,5,21,21,0,0.2649199959290024,0.6821821379354767
2,1,5,22,22,0,0.73799348900571,0.5704128442866456
2,2,5,22,22,0,0.35865064271919,0.6584694379256778
2,1,5,23,23,1,0.6531148234960927,0.43263392131240036
2,2,5,23,23,0,0.4422903637886168,0.48099795357283437
2,1,5,24,24,0,0.5263634991726381,0.5639357887985852
2,2,5,24,24,0,0.4629108553656096,0.5453844380001861
2,1,5,25,25,0,0.456723205225478,0.5764794970784722
2,2,5,25,25,1,0.6318737366982764,0.5230249076534231
2,1,5,26,26,0,0.3460657895385973,0.5919532006942642
2,2,5,26,26,1,0.7314260599390221,0.6050380870100728
2,1,5,27,27,1,0.22534268522011244,0.5974912024735896
2,2,5,27,27,1,0.8508905909850689,0.5465973525368815
2,1,5,28,28,0,0.1362835892854204,0.5842612455124837
2,2,5,28,28,1,0.8490626544415218,0.703158070936112
2,1,5,29,29,0,0.04760398318693126,0.5372273525433693
2,2,5,29,29,0,0.9817348216243359,0.7836803903590153
2,1,5,30,30,1,0.014927268894470522,0.43320724022890345
2,2,5,30,30,0,0.8505131774307538,0.7932700105859608
2,1,5,31,31,1,0.1339862102644594,0.9062863513151066
2,2,5,31,31,0,0.7767644158377565,0.829283982773671
2,1,5,32,32,1,0.2723908620665441,0.8136226192752136
2,2,5,32,32,1,0.782010866989007,0.906229404734858
2,1,5,33,33,1,0.25087807300676285,0.915786970830994
2,2,5,33,33,1,0.6682148576156184,0.8157817555621971
2,1,5,34,34,1,0.34963028721369505,0.8625735918768966
2,2,5,34,34,1,0.5639560786733713,0.925140970392273
2,1,5,35,35,0,0.3345846253275269,0.9524315379037078
2,2,5,35,35,0,0.46239555543080035,0.8241352860949617
2,1,5,36,36,0,0.45764763913402184,0.7916060756252751
2,2,5,36,36,0,0.528843661947234,0.8032867412626697
2,1,5,37,37,1,0.46686001731436744,0.67451329193980325
2,2,5,37,37,0,0.5601250484176119,0.6748870107276348
2,1,5,38,38,1,0.6431174925803191,0.701922461593566
2,2,5,38,38,0,0.37150346546345425,0.9712993540868506
2,1,5,39,39,1,0.7513520068309331,0.9318106565918873
2,2,5,39,39,1,0.4269294348950923,0.6826023606707159
2,1,5,40,40,1,0.8780905121122068,0.9739825486956563
2,2,5,40,40,1,0.14127707050290725,0.8992014533757454
3,1,1,1,1,1,0.8766988083379326,0.1372619156188084
3,2,1,1,1,0,0.9597196075815202,0.15985866788055428
3,1,1,2,2,1,0.9469413533285768,0.2206019789200842
3,2,1,2,2,0,0.7515137935309263,0.029330181448369796
3,1,1,3,3,1,0.9441293081744022,0.3298025104612887
